date, hometeam, awayteam, hometries, homeconversions, homepenalties, awaytries, awayconversions, awaypenalties
13-10-2023, Bristol, Leicester, 3, 2, 2, 2, 2, 0
14-10-2023, Exeter, Saracens, 11, 5, 0, 2, 0, 0
14-10-2023, Bath, Newcastle, 6, 2, 0, 3, 1, 3
14-10-2023, Gloucester, Harlequins, 4, 3, 1, 3, 2, 3
15-10-2023, Sale, Northampton, 3, 1, 1, 2, 1, 1
20-10-2023, Newcastle, Gloucester, 2, 1, 0, 2, 1, 2
21-10-2023, Northampton, Bristol, 4, 2, 1, 4, 2, 3
21-10-2023, Saracens, Bath, 1, 1, 3, 4, 1, 1
21-10-2023, Leicester, Sale, 3, 1, 0, 3, 3, 1
22-10-2023, Harlequins, Exeter, 3, 2, 1, 2, 2, 0
27-10-2023, Gloucester, Saracens, 0, 0, 1, 3, 3, 1
28-10-2023, Bath, Leicester, 2, 1, 4, 1, 1, 6
28-10-2023, Exeter, Sale, 6, 4, 1, 0, 0, 0
28-10-2023, Bristol, Harlequins, 2, 1, 3, 2, 2, 3
29-10-2023, Newcastle, Northampton, 1, 0, 3, 1, 1, 3
